index,prob1,out1,prob2,out2,prob3,out3,decoy,setIndex
1,0.15,18,0.55,10,0.25,20,1,1
2,0.65,6,0.15,24,0.05,22,3,1
3,0.45,12,0.15,24,0.05,22,3,1
4,0.05,22,0.15,24,0.55,10,1,1
5,0.75,4,0.25,10,0.35,12,2,1
6,0.25,16,0.6,8,0.5,6,3,1
7,0.5,6,0.6,8,0.2,18,1,1
8,0.2,18,0.6,4,0.7,6,2,1
9,0.2,22,0.35,10,0.45,12,2,1
10,0.45,12,0.25,20,0.35,10,3,1
11,0.6,8,0.05,26,0.2,22,2,2
12,0.35,12,0.2,16,0.75,4,2,2
13,0.15,24,0,28,0.65,6,2,2
14,0.2,22,0.05,26,0.55,10,2,2
15,0.15,22,0.6,8,0.3,18,1,2
16,0.3,18,0.65,9,0.45,12,2,2
17,0.75,7,0.3,18,0.55,10,1,2
18,0.35,12,0.6,8,0.8,5,3,2
19,0.25,20,0.65,6,0.85,3,3,2
20,0.25,16,0.75,4,0.95,1,3,2
21,0.65,6,0.2,22,0.25,21,3,3
22,0.3,14,0.35,13,0.55,10,2,3
23,0.3,19,0.65,6,0.25,20,1,3
24,0.2,22,0.25,21,0.6,8,2,3
25,0.25,21,0.2,22,0.45,12,1,3
26,0.35,12,0.6,8,0.55,9,3,3
27,0.6,7,0.2,22,0.65,6,1,3
28,0.55,9,0.2,18,0.6,8,1,3
29,0.55,9,0.6,8,0.25,20,1,3
30,0.6,8,0.55,9,0.2,22,2,3
31,0.15,24,0.75,26,0.65,8,2,4
32,0.65,22,0.55,12,0.25,20,1,4
33,0.65,12,0.2,24,0.75,26,3,4
34,0.65,8,0.2,20,0.75,22,3,4
35,0.25,24,0.7,26,0.6,6,2,4
36,0.45,10,0.3,18,0.55,20,3,4
37,0.15,22,0.55,10,0.65,24,3,4
38,0.3,18,0.55,6,0.65,20,3,4
39,0.2,24,0.55,10,0.65,26,3,4
40,0.45,10,0.55,26,0.3,24,2,4